Location,Date collected,Time collected (h),Quadrat size (m^2),Quadrat identifier,Length (anterior-posterior) (mm),Width (lateral axis) (mm),Status,Left valve age,Right valve age,"Shell erosion from umbone, left (mm)","Shell erosion from umbone, right (mm)",Latitude (decimal degrees N),Longitude (decimal degrees W)
Sol Legare (side B),6/23/2016,1500,0.0625,2a,76.2,28.9,Live,6,6,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,84,34.1,Live,7,6,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,85.5,34.2,Live,6,6,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,87.7,35.2,Dead,4,4,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,88.3,37.8,Live,5,5,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,88.6,36.8,Live,5,5,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,90,38.4,Live,6,6,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,91.4,37.5,Live,4,4,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,92.3,36,Live,4,4,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,92.4,36.1,Live,9,8,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,92.8,36.4,Live,6,6,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,94.2,36,Live,6,6,48.4,33,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,95.6,37.3,Live,5,5,31,24,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,97.6,39,Live,6,6,30.2,28,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,99,38.3,Live,7,6,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,103.1,42.5,Live,7,7,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,103.1,43.2,Live,12,13,40.9,52,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,104.1,41.4,Live,6,6,27,30.5,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,106.1,40.3,Live,7,7,,,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,107,43.9,Live,12,11,55.5,52.5,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,107.3,41.4,Dead,8,10,62,35,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,108.9,41.1,Live,9,10,37.8,38,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,109.8,44,Live,9,11,50.5,29.5,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,110.6,43.2,Live,7,8,52,47.3,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,112,50.3,Live,10,9,72.5,70.7,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,112.6,45.9,Live,14,12,42.5,49.5,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,113.6,42.1,Live,11,12,37.5,31.5,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,115.7,43,Live,15,15,49,50,32.673787,79.99059901
Sol Legare (side B),6/23/2016,1500,0.0625,2a,119.4,46.9,Live,6,6,,,32.673787,79.99059901
Sol Legare (side B),7/12/2016,930,0.0625,3a,96.1,27.2,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,39.2,9.8,Live,0,0,,,Clear/too small,Clear/too small
Sol Legare (side B),7/12/2016,930,0.0625,3a,18.6,4.5,Live,0,0,,,Clear/too small,Clear/too small
Sol Legare (side B),7/12/2016,930,0.0625,3a,33.8,7.8,Live,1,1,,,Clear/too small,Clear/too small
Sol Legare (side B),7/12/2016,930,0.0625,3a,35.6,9.5,Live,1,1,,,Clear/too small,Clear/too small
Sol Legare (side B),7/12/2016,930,0.0625,3a,84.2,22.8,Live,4,4,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,98.2,29.8,Live,9,10,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,115.2,35.8,Live,11,12,47,58,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,91.8,23.8,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,87.1,22.9,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,76.6,20.8,Live,4,4,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,92.1,24,Live,4,4,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,106,34.9,Live,9,9,,31.7,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,89.6,24.6,Live,4,4,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,111.7,35.2,Dead,11,10,45,50.5,N/A,N/A
Sol Legare (side B),7/12/2016,930,0.0625,3a,101.2,25.7,Live,5,5,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,101.5,33,Live,8,9,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,90.3,24.7,Dead,4,4,,,N/A,N/A
Sol Legare (side B),7/12/2016,930,0.0625,3a,93,26.5,Live,5,5,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,102.8,29.4,Live,8,8,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,103.1,25.8,Live,5,5,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,99,27.9,Live,5,5,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,96.7,27.3,Live,6,6,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,80.2,21.3,Live,2,2,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,83,24.2,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,113.7,34,Live,13,11,40.3,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,78.2,22.5,Live,2,2,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,100.7,30.3,Live,7,7,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,95.4,29.9,Live,3,3,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,103,32.3,Live,6,6,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,111.3,30.2,Live,10,11,34.5,32,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,98.3,26.6,Live,3,3,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,89.3,22.4,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,81,21.7,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,110.3,34.2,Dead,13,13,34.5,32.5,N/A,N/A
Sol Legare (side B),7/12/2016,930,0.0625,3a,117.9,34.9,Dead,10,11,39.5,52,N/A,N/A
Sol Legare (side B),7/12/2016,930,0.0625,3a,114,33.5,Live,13,11,47,46.5,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,94,26.8,Live,4,4,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,68.4,17,Live,2,2,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,104.6,29.8,Live,9,9,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,88.7,23.1,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,105.3,30.3,Live,7,7,,,Yellow,Yellow
Sol Legare (side B),7/12/2016,930,0.0625,3a,101.6,29.6,Live,7,7,,,Brown,Brown
Sol Legare (side B),7/12/2016,930,0.0625,3a,116.9,36.9,Dead,13,12,40,37.5,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,32.2,,Live,1,1,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,31.8,,Live,1,1,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,5.1,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,6.2,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,9.7,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,11.9,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,6.7,,Live,0,0,,,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,103.6,,Live,13,12,51,49.5,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,91.9,,Live,11,10,35,33,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,94.1,,Dead,12,12,27.5,3,N/A,N/A
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,91.6,,Live,9,8,40.5,36,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,69.8,,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,84,,Live,6,6,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,85.2,,Live,7,7,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,66.2,,Live,2,2,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,98,,Live,13,13,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,94.9,,Live,9,9,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,77.1,,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,76,,Live,4,4,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,100.8,,Live,10,10,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,67.9,,Live,3,3,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,98.5,,Live,6,6,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,98.6,,Live,8,8,40,40,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,90.5,,Live,8,8,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,94.7,,Live,4,4,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,83.8,,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,84.7,,Live,5,5,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,97,,Live,10,10,33.5,32,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,88.4,,Live,9,,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,75.7,,Live,4,,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,82.8,,Live,5,,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,85.9,,Live,7,,,,Brown,Brown
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,74.6,,Live,4,,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,57.9,,Live,2,,,,Yellow,Yellow
Sol Legare (side B),7/20/2016,10:30,0.0625,4a,77.7,,Live,4,,,,Brown,Brown
